Job Titles,Department,Full or Part-Time,Salary or Hourly,Typical Hours,Annual Salary,Hourly Rate
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,121542,
ELECTION EQUIPMENT & SUPPLY SPEC I,BOARD OF ELECTION COMMISSIONERS,F,SALARY,,39624,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,125580,
PRINCIPAL CLERK-ELECTIONS,BOARD OF ELECTION COMMISSIONERS,F,SALARY,,77160,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,129864,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,125580,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,129864,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,133878,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,129864,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,129864,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,129864,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,129864,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,125580,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,125580,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,133878,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,129864,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,129864,
POLICE OFFICER / FLD TRNG OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,111480,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,133878,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,133878,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,133878,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,125580,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,125580,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,133878,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,125580,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,133878,
EXECUTIVE ASST,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,F,SALARY,,94644,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,121542,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,129864,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,133878,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,121542,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,129864,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,129864,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,125580,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,125580,
PRINCIPAL CLERK-ELECTIONS,BOARD OF ELECTION COMMISSIONERS,F,SALARY,,48264,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,125580,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,129864,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,129864,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,121542,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,133878,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,121542,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,129864,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,129864,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,121542,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,129864,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,117636,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,129864,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,129864,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,133878,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,129864,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,133878,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,117636,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,133878,
ASST MANAGER - BD OF ELECTIONS,BOARD OF ELECTION COMMISSIONERS,F,SALARY,,91860,
ADMIN ASST TO THE COMMISSIONERS,BOARD OF ELECTION COMMISSIONERS,F,SALARY,,83100,
FIREFIGHTER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,98904,
CLERK - BD OF ELECTIONS,BOARD OF ELECTION COMMISSIONERS,F,SALARY,,43728,
INVESTIGATOR II - IG,OFFICE OF INSPECTOR GENERAL,F,SALARY,,90444,
FIREFIGHTER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,98904,
COMPUTER APPL ANALYST I-ELECTIONS,BOARD OF ELECTION COMMISSIONERS,F,SALARY,,49476,
ADMINISTRATIVE MANAGER,OFFICE OF PUBLIC SAFETY ADMINISTRATION,F,SALARY,,132708,
FIREFIGHTER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,98904,
DIVISION MANAGER - BD OF ELECTIONS,BOARD OF ELECTION COMMISSIONERS,F,SALARY,,117804,
FIREFIGHTER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,98904,
ASST PAYROLL ADMINISTRATOR,OFFICE OF PUBLIC SAFETY ADMINISTRATION,F,SALARY,,73188,
SENIOR CLERK-ELECTIONS,BOARD OF ELECTION COMMISSIONERS,F,SALARY,,50712,
FIREFIGHTER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,98904,
FIREFIGHTER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,98904,
CLERK - BD OF ELECTIONS,BOARD OF ELECTION COMMISSIONERS,F,SALARY,,43728,
FIREFIGHTER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,98904,
CLERK - BD OF ELECTIONS,BOARD OF ELECTION COMMISSIONERS,F,SALARY,,39624,
LIBRARY PAGE,CHICAGO PUBLIC LIBRARY,P,HOURLY,20,,16.51
CLERK - BD OF ELECTIONS,BOARD OF ELECTION COMMISSIONERS,F,SALARY,,54624,
INVESTIGATOR II - IG,OFFICE OF INSPECTOR GENERAL,F,SALARY,,90444,
FIREFIGHTER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,98904,
SUPVR REGISTRATION-ELECTIONS,BOARD OF ELECTION COMMISSIONERS,F,SALARY,,69936,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,121542,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,129864,
LEGISLATIVE AIDE,CITY COUNCIL,F,SALARY,,55008,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,129864,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,133878,
PARKING ENFORCEMENT AIDE,DEPARTMENT OF FINANCE,F,SALARY,,65064,
POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN),CHICAGO POLICE DEPARTMENT,F,SALARY,,119244,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,129864,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,133878,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,133878,
POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN),CHICAGO POLICE DEPARTMENT,F,SALARY,,127200,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,125580,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,125580,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,125580,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,125580,
POLICE OFFICER / FLD TRNG OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,115188,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,117636,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,121542,
POLICE COMMUNICATIONS OPERATOR I,OFFICE OF EMERGENCY MANAGEMENT AND COMMUNICATIONS,F,SALARY,,68196,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,129864,
POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN),CHICAGO POLICE DEPARTMENT,F,SALARY,,123576,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,133878,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,117636,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,121542,
SANITATION LABORER,DEPARTMENT OF STREETS AND SANITATION,F,HOURLY,40,,45.29
POLICE OFFICER / FLD TRNG OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,111480,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,125580,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,133878,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,125580,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,133878,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,129864,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,133878,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,133878,
ASST MANAGER - BD OF ELECTIONS,BOARD OF ELECTION COMMISSIONERS,F,SALARY,,105600,
FOREMAN OF MACHINISTS,CHICAGO DEPARTMENT OF TRANSPORTATION,F,HOURLY,40,,53.18
POLICE OFFICER / FLD TRNG OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,115188,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,121542,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,129864,
POLICE OFFICER / FLD TRNG OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,123576,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,133878,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,125580,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,133878,
POLICE OFFICER / FLD TRNG OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,119244,
HOISTING ENGINEER,CHICAGO DEPARTMENT OF TRANSPORTATION,F,HOURLY,40,,56.6
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,125580,
POLICE OFFICER / FLD TRNG OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,119244,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,125580,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,125580,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,125580,
MEDICAL SERVICES COORD - CPD,OFFICE OF PUBLIC SAFETY ADMINISTRATION,F,SALARY,,84972,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,129864,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,129864,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,129864,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,121542,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,125580,
POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN),CHICAGO POLICE DEPARTMENT,F,SALARY,,119244,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,133878,
LIBRARY PAGE,CHICAGO PUBLIC LIBRARY,P,HOURLY,20,,16.51
POLICE OFFICER (ASSIGNED AS TRAFFIC SPECIALIST),CHICAGO POLICE DEPARTMENT,F,SALARY,,123576,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,129864,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,121542,
POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN),CHICAGO POLICE DEPARTMENT,F,SALARY,,119244,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,133878,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,125580,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,121542,
PUBLIC HEALTH NURSE II,CHICAGO DEPARTMENT OF PUBLIC HEALTH,F,SALARY,,129492,
LIBRARY PAGE,CHICAGO PUBLIC LIBRARY,P,HOURLY,20,,16.51
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,133878,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,133878,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,121542,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,133878,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,133878,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,125580,
POLICE OFFICER / FLD TRNG OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,127200,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,125580,
POLICE OFFICER / FLD TRNG OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,111480,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,121542,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,133878,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,129864,
MOTOR TRUCK DRIVER,DEPARTMENT OF STREETS AND SANITATION,F,HOURLY,40,,45.68
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,129864,
POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN),CHICAGO POLICE DEPARTMENT,F,SALARY,,119244,
LIBRARY PAGE,CHICAGO PUBLIC LIBRARY,P,HOURLY,20,,16.51
ASST CHIEF OPERATING ENGINEER,DEPARTMENT OF FLEET AND FACILITY MANAGEMENT,F,HOURLY,40,,63.12
POLICE OFFICER / FLD TRNG OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,115188,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,121542,
LIBRARY PAGE,CHICAGO PUBLIC LIBRARY,P,HOURLY,20,,16.51
POLICE OFFICER / FLD TRNG OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,127200,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,133878,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,121542,
FIREFIGHTER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,98904,
POLICE OFFICER / FLD TRNG OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,111480,
LIBRARY PAGE,CHICAGO PUBLIC LIBRARY,P,HOURLY,20,,16.51
FIREFIGHTER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,98904,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,133878,
POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN),CHICAGO POLICE DEPARTMENT,F,SALARY,,123576,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,133878,
DIVISION MANAGER - BD OF ELECTIONS,BOARD OF ELECTION COMMISSIONERS,F,SALARY,,126288,
POLICE OFFICER (ASSIGNED AS TRAFFIC SPECIALIST),CHICAGO POLICE DEPARTMENT,F,SALARY,,115188,
COMPUTER APPL ANALYST II-ELECTIONS,BOARD OF ELECTION COMMISSIONERS,F,SALARY,,88524,
FOREMAN OF LABORERS,DEPARTMENT OF STREETS AND SANITATION,F,HOURLY,40,,49.8
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,121542,
POLICE OFFICER / FLD TRNG OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,111480,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,121542,
AVIATION SECURITY OFFICER,CHICAGO DEPARTMENT OF AVIATION,F,SALARY,,86016,
CLERK - BD OF ELECTIONS,BOARD OF ELECTION COMMISSIONERS,F,SALARY,,43728,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,129864,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,121542,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,133878,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,129864,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,117636,
STUDENT INTERN,DEPARTMENT OF PLANNING AND DEVELOPMENT,P,HOURLY,20,,20
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,125580,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,133878,
POLICE OFFICER / FLD TRNG OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,111480,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,129864,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,133878,
LIBRARY PAGE,CHICAGO PUBLIC LIBRARY,P,HOURLY,20,,16.51
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,117636,
ASST TO THE DIR,BOARD OF ELECTION COMMISSIONERS,F,SALARY,,78204,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,133878,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,125580,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,133878,
POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN),CHICAGO POLICE DEPARTMENT,F,SALARY,,127200,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,133878,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,125580,
POLICE OFFICER / FLD TRNG OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,111480,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,125580,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,133878,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,117636,
POLICE OFFICER / FLD TRNG OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,106176,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,133878,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,125580,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,117636,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,125580,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,133878,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,129864,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,117636,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,133878,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,125580,
LIBRARY PAGE,CHICAGO PUBLIC LIBRARY,P,HOURLY,20,,16.51
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,121542,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,133878,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,125580,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,125580,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,129864,
POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN),CHICAGO POLICE DEPARTMENT,F,SALARY,,115188,
POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN),CHICAGO POLICE DEPARTMENT,F,SALARY,,123576,
POLICE OFFICER / FLD TRNG OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,111480,
PARKING ENFORCEMENT AIDE,DEPARTMENT OF FINANCE,F,SALARY,,44292,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,121542,
PARKING ENFORCEMENT AIDE,DEPARTMENT OF FINANCE,F,SALARY,,42312,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,133878,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,125580,
POLICE OFFICER / FLD TRNG OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,119244,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,125580,
POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN),CHICAGO POLICE DEPARTMENT,F,SALARY,,123576,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,125580,
HOISTING ENGINEER,CHICAGO DEPARTMENT OF TRANSPORTATION,F,HOURLY,40,,56.6
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,125580,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,133878,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,129864,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,129864,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,133878,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,133878,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,133878,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,117636,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,121542,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,129864,
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,125580,
